final_group_id,test,grouping,p_value,direction,n_carry_a,n_total_a,rate_a,n_carry_b,n_total_b,rate_b,label_a,label_b,median_normalized_a,median_normalized_b
cyanorak:CK_00000001,presence_absence,sensitivity,1.0,enriched in mixed,8.0,9.0,0.8888888888888888,6.0,6.0,1.0,N_sensitive,mixed,,
cyanorak:CK_00000001,presence_absence,ecotype,1.0,enriched in LL,9.0,10.0,0.9,5.0,5.0,1.0,HL,LL,,
cyanorak:CK_00000001,copy_number,sensitivity,0.3276723276723276,higher in mixed,,,,,,,N_sensitive,mixed,0.49333991119881604,0.511306379958672
cyanorak:CK_00000001,copy_number,ecotype,0.8591408591408591,higher in HL,,,,,,,HL,LL,0.5056890335930951,0.45167118337850043
