label,n_distinct_genes,n_tests,n_up,n_down,n_not_significant,pct_significant,pct_up,pct_down
H1: N-genes in N-experiments (matched),29,104,46,0,58,44.23076923076923,44.23076923076923,0.0
H1: P-genes in P-experiments (matched),31,76,38,2,36,52.63157894736842,50.0,2.6315789473684212
H2: N-genes in P-experiments (cross),29,73,0,2,71,2.73972602739726,0.0,2.73972602739726
H2: P-genes in N-experiments (cross),30,111,10,13,88,20.72072072072072,9.00900900900901,11.711711711711711
Positive controls: N genes in N-experiments,4,20,16,0,4,80.0,80.0,0.0
Positive controls: P genes in P-experiments,4,14,12,1,1,92.85714285714286,85.71428571428571,7.142857142857143
