locus_tag,n_tested,n_up,pct_up
PMM0215,3,0,0.0
PMM0216,3,0,0.0
PMM0217,3,0,0.0
PMM0218,3,0,0.0
PMM0219,1,0,0.0
PMM0220,2,2,100.0
PMM0221,3,0,0.0
PMM0222,3,0,0.0
PMM0223,3,1,33.333333333333336
PMM0224,3,1,33.333333333333336
PMM0225,2,0,0.0
PMM0226,3,0,0.0
PMM0227,3,0,0.0
PMM0228,3,0,0.0
PMM0229,3,0,0.0
PMM0230,1,0,0.0
PMM0231,3,0,0.0
PMM0232,2,0,0.0
PMM0233,3,0,0.0
PMM0234,2,0,0.0
PMM0235,3,1,33.333333333333336
PMM0236,3,1,33.333333333333336
PMM0237,3,2,66.66666666666667
PMM0238,3,0,0.0
PMM0239,3,0,0.0
PMM0240,3,0,0.0
PMM0241,3,1,33.333333333333336
PMM0242,3,0,0.0
PMM0243,3,2,66.66666666666667
PMM0244,3,2,66.66666666666667
PMM0245,2,2,100.0
PMM0247,3,1,33.333333333333336
PMM0248,3,0,0.0
PMM0249,2,0,0.0
PMM0250,3,0,0.0
PMM0251,3,0,0.0
PMM0252,2,0,0.0
PMM0253,2,0,0.0
PMM0254,3,0,0.0
PMM0255,3,0,0.0
PMM0256,3,0,0.0
PMM0257,3,1,33.333333333333336
PMM0258,3,1,33.333333333333336
PMM0259,2,0,0.0
PMM0260,3,0,0.0
PMM0261,3,0,0.0
PMM0262,3,1,33.333333333333336
PMM0264,3,1,33.333333333333336
PMM0265,3,0,0.0
PMM0266,3,0,0.0
PMM0267,3,0,0.0
PMM0268,2,1,50.0
PMM0269,3,0,0.0
PMM0270,3,0,0.0
PMM0271,3,1,33.333333333333336
PMM0272,2,0,0.0
PMM0273,3,0,0.0
PMM0274,3,0,0.0
PMM0275,3,0,0.0
PMM0276,3,0,0.0
PMM0277,3,1,33.333333333333336
PMM0278,3,0,0.0
PMM0279,3,0,0.0
PMM0280,3,0,0.0
PMM0281,3,0,0.0
PMM0282,3,0,0.0
PMM0283,3,0,0.0
PMM0284,3,0,0.0
PMM0285,3,0,0.0
PMM0286,3,0,0.0
PMM0287,3,0,0.0
PMM0288,3,0,0.0
PMM0289,3,0,0.0
PMM0290,3,0,0.0
PMM0291,3,0,0.0
PMM0292,3,0,0.0
PMM0293,3,1,33.333333333333336
PMM0294,2,2,100.0
PMM0295,3,0,0.0
PMM0296,3,0,0.0
PMM0297,3,0,0.0
PMM0298,3,0,0.0
PMM0299,2,0,0.0
PMM0300,3,0,0.0
PMM0301,3,1,33.333333333333336
PMM0302,3,0,0.0
PMM0303,3,0,0.0
PMM0304,3,0,0.0
PMM0305,3,1,33.333333333333336
PMM0306,3,0,0.0
PMM0307,2,0,0.0
PMM0308,2,0,0.0
PMM0309,3,1,33.333333333333336
PMM0310,3,0,0.0
PMM0311,3,0,0.0
PMM0312,3,0,0.0
PMM0313,3,0,0.0
PMM0314,2,0,0.0
PMM0315,3,0,0.0
PMM0316,3,0,0.0
PMM0317,3,0,0.0
PMM0318,3,0,0.0
PMM0319,3,0,0.0
PMM0320,3,0,0.0
PMM0321,3,1,33.333333333333336
PMM0322,3,0,0.0
PMM0323,3,0,0.0
PMM0324,3,0,0.0
PMM0325,3,0,0.0
PMM0326,3,0,0.0
PMM0327,3,1,33.333333333333336
PMM0328,3,0,0.0
PMM0329,3,0,0.0
PMM0330,3,0,0.0
