gene_name,n_or_p,experiment_id,nutrient,organism_name,match_type,locus_tag,status,log2fc,padj,timepoint
cynA,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0370,significant_up,3.84,0.0,24h
cynB,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0371,significant_up,2.65,0.0,24h
cynD,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0372,no_data_at_timepoint,,,24h
cynS,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0373,not_significant,-0.37,0.64,24h
nadB,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0100,no_data_at_timepoint,,,24h
thiO,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0047,no_data_at_timepoint,,,24h
ureA,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0965,significant_up,3.08,0.0,24h
ureB,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0964,significant_up,2.33,0.0,24h
ureC,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0963,significant_up,1.66,0.05,24h
ureD,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0966,not_significant,1.05,0.29,24h
ureE,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0967,no_data_at_timepoint,,,24h
ureF,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0968,no_data_at_timepoint,,,24h
ureG,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0969,significant_up,1.85,0.05,24h
ntcA,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0246,significant_up,2.17,0.0,24h
pipX,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0393,no_data_at_timepoint,,,24h
glnA,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0920,significant_up,2.45,0.0,24h
glsF,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM1512,not_significant,0.94,0.4,24h
urtA,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0970,significant_up,2.8,0.01,24h
urtC,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0972,no_data_at_timepoint,,,24h
urtD,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0973,no_data_at_timepoint,,,24h
urtE,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0974,not_significant,-0.46,0.94,24h
phoA,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0708,not_significant,1.52,0.13,24h
PMM707,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0707,not_significant,1.29,0.13,24h
PMM721,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0721,no_data_at_timepoint,,,24h
acr3/arsB,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0716,no_data_at_timepoint,,,24h
arsR,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0714,not_significant,1.61,0.27,24h
chrA,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0711,no_data_at_timepoint,,,24h
gap3,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0713,no_data_at_timepoint,,,24h
mfs,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0712,no_data_at_timepoint,,,24h
phoB,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0705,not_significant,0.59,0.63,24h
phoE,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0709,not_significant,0.48,1.0,24h
phoR,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0706,no_data_at_timepoint,,,24h
ptrA,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0718,no_data_at_timepoint,,,24h
unkP1,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM1878,no_data_at_timepoint,,,24h
unkP2,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0715,no_data_at_timepoint,,,24h
unkP3,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0717,not_significant,-0.56,0.43,24h
unkP4,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM1880,no_data_at_timepoint,,,24h
unkP5,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0720,no_data_at_timepoint,,,24h
PMM719,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0719,not_significant,0.72,0.56,24h
PMM722,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0722,not_significant,-0.08,0.97,24h
phnD,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0673,no_data_at_timepoint,,,24h
ppA,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0494,significant_down,-1.69,0.03,24h
ppK,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM1696,no_data_at_timepoint,,,24h
ppX,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0457,no_data_at_timepoint,,,24h
pstA,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0724,no_data_at_timepoint,,,24h
pstB,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0725,not_significant,0.52,1.0,24h
pstC,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0723,no_data_at_timepoint,,,24h
pstS,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0710,significant_down,-4.0,0.0,24h
sqdB,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM1665,significant_down,-1.72,0.0,24h
phnC,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0672,no_data_at_timepoint,,,24h
phnE,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM0671,no_data_at_timepoint,,,24h
PsiP1,P,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,cross,PMM1416,not_significant,0.43,0.88,24h
nadB2,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,12h
natF,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,12h
natG,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,12h
natH,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,12h
focA,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,12h
nirA,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,12h
nirX,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,12h
gdhA,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,12h
amtB/amt1,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0263,not_significant,0.640798321,1.0,12h
cynA,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0370,significant_up,4.58350176619516,0.01,12h
cynB,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0371,significant_up,2.37248468438192,0.01,12h
cynD,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0372,significant_up,2.17991366596472,0.01,12h
cynS,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0373,not_significant,1.289198572,1.0,12h
nadB,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0100,not_significant,-0.416978129,1.0,12h
thiO,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0047,not_significant,0.308205233,1.0,12h
ureA,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0965,significant_up,1.5016806356999,0.01,12h
ureB,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0964,significant_up,1.32778315629641,0.01,12h
ureC,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0963,not_significant,-0.018844327,1.0,12h
ureD,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0966,not_significant,-3.082907367,1.0,12h
ureE,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0967,not_significant,0.358014784,1.0,12h
ureF,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0968,not_significant,0.716767806,1.0,12h
ureG,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0969,significant_up,1.21799783854879,0.01,12h
ntcA,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0246,significant_up,3.01927772296539,0.01,12h
pipX,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0393,not_significant,0.76440665,1.0,12h
glnA,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0920,significant_up,4.14177961834331,0.01,12h
glsF,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM1512,significant_up,1.24648614137608,0.01,12h
urtA,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0970,significant_up,3.75015994971883,0.01,12h
urtC,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0972,not_significant,-0.126638336,1.0,12h
urtD,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0973,not_significant,0.018974269,1.0,12h
urtE,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,matched,PMM0974,not_significant,0.872009404,1.0,12h
phoA,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0708,not_significant,-0.207764338,1.0,12h
PMM707,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0707,not_significant,0.381751606,1.0,12h
PMM721,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0721,not_significant,-1.236400604,1.0,12h
acr3/arsB,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0716,not_significant,0.019756746,1.0,12h
arsR,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0714,not_significant,0.911613208,1.0,12h
chrA,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0711,not_significant,-1.366843566,1.0,12h
gap3,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0713,not_significant,0.894054052,1.0,12h
mfs,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0712,not_significant,-0.094527204,1.0,12h
phoB,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0705,not_significant,0.525577886,1.0,12h
phoE,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0709,not_significant,-0.400186908,1.0,12h
phoR,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0706,not_significant,0.038662557,1.0,12h
ptrA,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0718,not_significant,-0.580112717,1.0,12h
unkP1,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM1878,no_data_at_timepoint,,,12h
unkP2,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0715,not_significant,0.661101061,1.0,12h
unkP3,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0717,not_significant,-0.326382693,1.0,12h
unkP4,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM1880,no_data_at_timepoint,,,12h
unkP5,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0720,not_significant,-1.152665306,1.0,12h
PMM719,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0719,significant_up,1.67708651285213,0.01,12h
PMM722,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0722,not_significant,-0.411771375,1.0,12h
phnD,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0673,significant_down,-2.18655218002584,0.01,12h
ppA,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0494,significant_down,-1.58768542736678,0.01,12h
ppK,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM1696,not_significant,-0.28098487,1.0,12h
ppX,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0457,not_significant,-0.541248362,1.0,12h
pstA,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0724,not_significant,-0.912920658,1.0,12h
pstB,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0725,not_significant,0.542283488,1.0,12h
pstC,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0723,not_significant,-0.401609875,1.0,12h
pstS,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0710,significant_down,-1.60397657407417,0.01,12h
sqdB,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM1665,not_significant,-0.490316622,1.0,12h
phnC,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0672,not_significant,-1.739941182,1.0,12h
phnE,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM0671,not_significant,-0.859485312,1.0,12h
PsiP1,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,Prochlorococcus MED4,cross,PMM1416,not_significant,-0.46588768,1.0,12h
cynA,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,,no_locus_in_strain,,,12h
cynB,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,,no_locus_in_strain,,,12h
cynD,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,,no_locus_in_strain,,,12h
cynS,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,,no_locus_in_strain,,,12h
phoA,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,,no_locus_in_strain,,,12h
PMM707,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,,no_locus_in_strain,,,12h
PMM721,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,,no_locus_in_strain,,,12h
acr3/arsB,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,,no_locus_in_strain,,,12h
chrA,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,,no_locus_in_strain,,,12h
ptrA,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,,no_locus_in_strain,,,12h
unkP1,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,,no_locus_in_strain,,,12h
unkP2,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,,no_locus_in_strain,,,12h
unkP3,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,,no_locus_in_strain,,,12h
unkP4,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,,no_locus_in_strain,,,12h
unkP5,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,,no_locus_in_strain,,,12h
PMM719,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,,no_locus_in_strain,,,12h
PMM722,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,,no_locus_in_strain,,,12h
PsiP1,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,,no_locus_in_strain,,,12h
nadB2,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,,no_locus_in_strain,,,12h
amtB/amt1,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT1853,significant_up,2.29358349814224,0.01,12h
nadB,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT0177,not_significant,-1.141192978,1.0,12h
thiO,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT2140,not_significant,-0.19460358,1.0,12h
ureA,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT2234,not_significant,0.789840475,1.0,12h
ureB,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT2235,not_significant,0.67276527,1.0,12h
ureC,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT2236,not_significant,0.719212281,1.0,12h
ureD,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT2233,not_significant,-1.111248883,1.0,12h
ureE,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT2232,not_significant,0.292882745,1.0,12h
ureF,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT2231,not_significant,-0.299775433,1.0,12h
ureG,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT2230,not_significant,0.150309341,1.0,12h
ntcA,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT1831,significant_up,3.5581014323859,0.01,12h
pipX,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT0205,not_significant,0.014918578,1.0,12h
glnA,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT0601,significant_up,2.03050177230425,0.01,12h
glsF,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT1777,not_significant,-0.661477736,1.0,12h
urtA,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT2229,significant_up,4.04676729054706,0.01,12h
urtC,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT2227,not_significant,0.29992446,1.0,12h
urtD,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT2226,not_significant,-0.006103848,1.0,12h
urtE,N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,matched,PMT2225,not_significant,-0.183671938,1.0,12h
arsR,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,PMT1001,not_significant,-0.385319365,1.0,12h
gap3,P,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,nitrogen,Prochlorococcus MIT9313,cross,PMT1000,not_significant,0.358523025,1.0,12h
