gene_name,n_or_p,nutrient,n_tested,n_up,n_down,pct_up,pct_down
ureD,N,phosphorus,3,0,0,0.0,0.0
ureE,N,nitrogen,4,0,0,0.0,0.0
ureE,N,phosphorus,3,0,0,0.0,0.0
ureF,N,nitrogen,3,0,0,0.0,0.0
ureF,N,phosphorus,3,0,0,0.0,0.0
ureG,N,nitrogen,5,2,0,40.0,0.0
ureG,N,phosphorus,3,0,0,0.0,0.0
urtA,N,nitrogen,5,4,0,80.0,0.0
urtA,N,phosphorus,3,0,1,0.0,33.333333333333336
urtC,N,nitrogen,4,0,0,0.0,0.0
urtC,N,phosphorus,3,0,0,0.0,0.0
urtD,N,nitrogen,4,1,0,25.0,0.0
urtD,N,phosphorus,3,0,0,0.0,0.0
urtE,N,nitrogen,5,1,0,20.0,0.0
urtE,N,phosphorus,3,0,0,0.0,0.0
