gene_name_raw,n_or_p,omics_type,n_measurements,n_significant,median_log2fc,fraction_significant
pstA,P,MICROARRAY,24,4,-0.2767333685,0.16666666666666666
pstA,P,PROTEOMICS,6,5,0.5300566355387375,0.8333333333333334
pstA,P,RNASEQ,5,2,1.031526491079953,0.4
pstB,P,MICROARRAY,12,1,0.083944961,0.08333333333333333
pstB,P,PROTEOMICS,3,0,0.381465276082358,0.0
pstB,P,RNASEQ,4,0,0.35669137352260133,0.0
pstC,P,MICROARRAY,12,0,-0.221008819,0.0
pstC,P,PROTEOMICS,3,0,-0.0218585332234702,0.0
pstC,P,RNASEQ,1,1,1.500045585361813,1.0
pstS,P,MICROARRAY,18,7,0.19783804400000002,0.3888888888888889
pstS,P,PROTEOMICS,3,2,0.448837916056318,0.6666666666666666
pstS,P,RNASEQ,4,3,-3.525,0.75
sqdB,P,MICROARRAY,12,2,-0.6504651895,0.16666666666666666
sqdB,P,PROTEOMICS,3,0,-0.0476274490356494,0.0
sqdB,P,RNASEQ,4,2,-1.2441875583323485,0.5
thiO,N,MICROARRAY,12,0,0.0994587875,0.0
thiO,N,PROTEOMICS,3,0,0.231342633565267,0.0
thiO,N,RNASEQ,1,1,0.8102821392956102,1.0
ureA,N,MICROARRAY,12,4,0.94354286975522,0.3333333333333333
ureA,N,PROTEOMICS,3,2,1.25440692901611,0.6666666666666666
ureA,N,RNASEQ,4,3,2.432219440739778,0.75
ureB,N,MICROARRAY,12,2,0.5450787255,0.16666666666666666
ureB,N,PROTEOMICS,3,1,0.400882403055827,0.3333333333333333
ureB,N,RNASEQ,4,3,2.2157377944763974,0.75
ureC,N,MICROARRAY,12,1,0.29506498049999996,0.08333333333333333
ureC,N,PROTEOMICS,3,3,1.82478745778402,1.0
ureC,N,RNASEQ,4,1,1.2843243597634553,0.25
ureD,N,MICROARRAY,12,0,-0.3657032695,0.0
ureD,N,PROTEOMICS,3,1,0.594690004984539,0.3333333333333333
ureD,N,RNASEQ,4,1,0.7931955771200807,0.25
ureE,N,MICROARRAY,12,0,0.0225108865,0.0
ureE,N,PROTEOMICS,3,2,1.57349395751953,0.6666666666666666
ureE,N,RNASEQ,1,0,0.3434571839756931,0.0
ureF,N,MICROARRAY,12,0,0.0314673985,0.0
ureF,N,RNASEQ,1,0,-0.5204688529722536,0.0
ureG,N,MICROARRAY,12,1,0.22614561249999998,0.08333333333333333
ureG,N,PROTEOMICS,3,1,0.760268847147622,0.3333333333333333
ureG,N,RNASEQ,4,2,1.3657216650535984,0.5
urtA,N,MICROARRAY,12,10,3.504361072434235,0.8333333333333334
urtA,N,PROTEOMICS,3,3,-0.777386665344237,1.0
urtA,N,RNASEQ,4,3,2.7347471139870283,0.75
urtC,N,MICROARRAY,12,0,-0.016292286500000003,0.0
urtC,N,PROTEOMICS,3,2,0.82244300842285,0.6666666666666666
urtC,N,RNASEQ,1,0,0.7696813665292588,0.0
urtD,N,MICROARRAY,12,0,0.007948281,0.0
urtD,N,PROTEOMICS,3,0,0.291469891866048,0.0
urtD,N,RNASEQ,1,1,1.0075126293068315,1.0
urtE,N,MICROARRAY,12,0,0.3796125885,0.0
urtE,N,PROTEOMICS,3,0,0.417037645975749,0.0
urtE,N,RNASEQ,4,1,-0.185,0.25
