n_or_p,gene_name_raw,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
N,ntcA,Prochlorococcus MIT9313,PMT1831,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,3.5427379612893,0.01,significant_up
N,nirA,Prochlorococcus MIT9313,PMT2239,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,3.3170065802119,0.01,significant_up
N,urtA,Prochlorococcus MIT9313,PMT2229,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,3.25856219514964,0.01,significant_up
N,urtA,Prochlorococcus MIT9313,PMT2229,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,3.24240573943465,0.01,significant_up
N,focA,Prochlorococcus MIT9313,PMT2240,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,3.13402076755226,0.01,significant_up
N,ntcA,Prochlorococcus MIT9313,PMT1831,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,3.03245309533301,0.01,significant_up
N,ntcA,Prochlorococcus MIT9313,PMT1831,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,2.91416175012933,0.01,significant_up
N,urtA,Prochlorococcus MIT9313,PMT2229,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,2.84356915577768,0.01,significant_up
P,pstB,Prochlorococcus MIT9313,PMT0700,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-2.75513863235477,0.01,significant_down
P,pstA,Prochlorococcus MIT9313,PMT0701,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-2.41426731,1.0,not_significant
N,nirA,Prochlorococcus MIT9313,PMT2239,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,2.412705562,1.0,not_significant
N,amtB/amt1,Prochlorococcus MIT9313,PMT1853,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,2.29358349814224,0.01,significant_up
