n_or_p,gene_name_raw,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
N,thiO,Prochlorococcus MED4,PMM0047,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,0.268486485,1.0,not_significant
P,phoR,Prochlorococcus MED4,PMM0706,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.264804489,1.0,not_significant
P,ppK,Prochlorococcus MED4,PMM1696,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-0.263448507,1.0,not_significant
N,ureD,Prochlorococcus MED4,PMM0966,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.263157756,1.0,not_significant
P,PMM719,Prochlorococcus MED4,PMM0719,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,0.258850991,1.0,not_significant
N,urtD,Prochlorococcus MED4,PMM0973,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,0.253360475,1.0,not_significant
N,nadB,Prochlorococcus MED4,PMM0100,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-0.251967876,1.0,not_significant
P,PMM707,Prochlorococcus MED4,PMM0707,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.2483371,1.0,not_significant
P,pstB,Prochlorococcus MED4,PMM0725,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,0.2433827470452027,0.4989797602136759,not_significant
N,ureG,Prochlorococcus MED4,PMM0969,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.243208235,1.0,not_significant
P,pstC,Prochlorococcus MED4,PMM0723,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,-0.239943186442054,0.657945961722147,not_significant
P,phoB,Prochlorococcus MED4,PMM0705,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,0.237465857,1.0,not_significant
P,ppK,Prochlorococcus MED4,PMM1696,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.234910969,1.0,not_significant
N,thiO,Prochlorococcus MED4,PMM0047,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,0.23369820912679,0.373619915533163,not_significant
N,thiO,Prochlorococcus MED4,PMM0047,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.231342633565267,0.494856391360731,not_significant
P,PsiP1,Prochlorococcus MED4,PMM1416,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-0.226845366,1.0,not_significant
P,phnE,Prochlorococcus MED4,PMM0671,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-0.226003273,1.0,not_significant
P,PMM719,Prochlorococcus MED4,PMM0719,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.224203331,1.0,not_significant
N,amtB/amt1,Prochlorococcus MED4,PMM0263,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,0.224138189,1.0,not_significant
P,phnE,Prochlorococcus MED4,PMM0671,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.222660328,1.0,not_significant
P,PMM707,Prochlorococcus MED4,PMM0707,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,0.22,1.0,not_significant
N,urtA,Prochlorococcus MED4,PMM0970,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,0.22,1.0,not_significant
P,sqdB,Prochlorococcus MED4,PMM1665,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,-0.22,1.0,not_significant
N,ureD,Prochlorococcus MED4,PMM0966,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.210981958,1.0,not_significant
N,urtC,Prochlorococcus MED4,PMM0972,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-0.21081773,1.0,not_significant
P,acr3/arsB,Prochlorococcus MED4,PMM0716,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,-0.2099762157876589,0.6188683836678219,not_significant
N,glsF,Prochlorococcus MED4,PMM1512,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.209834098815917,0.487368119242069,not_significant
P,phoA,Prochlorococcus MED4,PMM0708,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-0.207764338,1.0,not_significant
N,thiO,Prochlorococcus MED4,PMM0047,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.205727259318034,0.421731879672594,not_significant
P,PMM719,Prochlorococcus MED4,PMM0719,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,0.203483871,1.0,not_significant
