group,n_genes_in_set,n_genes_tested,n_tests,n_up,n_down,n_not_significant,rate_significant,rate_up,rate_down
H1_N,93,46,403,111,5,287,0.2878411910669975,0.27543424317617865,0.01240694789081886
H1_P,85,31,145,57,2,86,0.4068965517241379,0.3931034482758621,0.013793103448275862
H2_Ngenes_Pexp,93,2,6,0,3,3,0.5,0.0,0.5
H2_Pgenes_Nexp,85,45,395,27,35,333,0.1569620253164557,0.06835443037974684,0.08860759493670886
positive_control_N,16,8,76,44,0,32,0.5789473684210527,0.5789473684210527,0.0
positive_control_P,18,14,63,30,1,32,0.49206349206349204,0.47619047619047616,0.015873015873015872
background_N,303,200,1596,78,158,1360,0.14786967418546365,0.04887218045112782,0.09899749373433583
