group,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
positive_control_N,Prochlorococcus MIT9313,PMT0601,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,1.72452021817924,0.01,significant_up
positive_control_N,Prochlorococcus MIT9313,PMT0601,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,1.54235498903119,0.01,significant_up
positive_control_N,Prochlorococcus MIT9313,PMT1853,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,1.297411992,1.0,not_significant
positive_control_N,Prochlorococcus MIT9313,PMT2234,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,1.05550344551044,0.01,significant_up
positive_control_N,Prochlorococcus MIT9313,PMT0601,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,1.009663902,1.0,not_significant
positive_control_N,Prochlorococcus MIT9313,PMT2234,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,0.831582294,1.0,not_significant
positive_control_N,Prochlorococcus MIT9313,PMT2234,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.789840475,1.0,not_significant
positive_control_N,Prochlorococcus MIT9313,PMT2234,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.71341191,1.0,not_significant
positive_control_N,Prochlorococcus MIT9313,PMT2234,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.399675994,1.0,not_significant
positive_control_N,Prochlorococcus MIT9313,PMT0601,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.262190069,1.0,not_significant
positive_control_N,Prochlorococcus MIT9313,PMT1831,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.25024562,1.0,not_significant
positive_control_N,Prochlorococcus MIT9313,PMT2234,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.213053866,1.0,not_significant
positive_control_N,Prochlorococcus MIT9313,PMT1853,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.156354162,1.0,not_significant
positive_control_N,Prochlorococcus MIT9313,PMT0601,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,0.152773848,1.0,not_significant
positive_control_P,Prochlorococcus MED4,PMM0708,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,162.295,0.0,significant_up
positive_control_P,Prochlorococcus MED4,PMM0708,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,13.059,0.0,significant_up
positive_control_P,Prochlorococcus MED4,PMM0705,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,5.298,0.0,significant_up
positive_control_P,Prochlorococcus MED4,PMM0710,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,4.67,0.0,significant_up
positive_control_P,Prochlorococcus MED4,PMM0705,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,3.49,0.0,significant_up
positive_control_P,Prochlorococcus MED4,PMM0705,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,2.882,0.0001,significant_up
positive_control_P,Prochlorococcus MED4,PMM0706,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,2.522,0.0084,significant_up
positive_control_P,Prochlorococcus MED4,PMM0710,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,2.232,0.0,significant_up
positive_control_P,Prochlorococcus MED4,PMM0705,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,4h,2.158,0.1601,not_significant
positive_control_P,Prochlorococcus MED4,PMM0708,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,2.142,0.008,significant_up
